MassiveID	filename	SampleType	SampleTypeSub1	SampleCollectionDateandTime	Country	LatitudeandLongitude	DepthorAltitudeMeters	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOBroadScale	ENVOLocalScale	ENVOMediumScale	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	ENVOLocalScaleIndex	ENVOBroadScaleIndex	ENVOMediumScaleIndex	USI
MSV000097243	mzml files/mzML_NEG/Metsi_PPL_1.mzML	environmental	dissolvedorganicmatter_water_freshwater	07/05/2024	Botswana	-19.19619|23.44262	0.0	aquatic biome	liquid water				2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)												
MSV000097243	mzml files/mzML_NEG/Metsi_PPL_2.mzML	environmental	dissolvedorganicmatter_water_freshwater	07/05/2024	Botswana	-19.19619|23.44262	0.0	aquatic biome	liquid water				2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)												
MSV000097243	mzml files/mzML_NEG/Metsi_PPL_3.mzML	environmental	dissolvedorganicmatter_water_freshwater	07/05/2024	Botswana	-19.19619|23.44262	0.0	aquatic biome	liquid water				2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)												
MSV000097243	mzml files/mzML_NEG/Metsi_PPL_4.mzML	environmental	dissolvedorganicmatter_water_freshwater	07/05/2024	Botswana	-19.19619|23.44262	0.0	aquatic biome	liquid water				2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)												
MSV000097243	mzml files/mzML_NEG/Metsi_PPL_5.mzML	environmental	dissolvedorganicmatter_water_freshwater	07/05/2024	Botswana	-19.20665|23.40359	0.0	aquatic biome	liquid water				2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)												
MSV000097243	mzml files/mzML_NEG/Metsi_PPL_6.mzML	environmental	dissolvedorganicmatter_water_freshwater	07/05/2024	Botswana	-19.20665|23.40359	0.0	aquatic biome	liquid water				2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)												
MSV000097243	mzml files/mzML_NEG/Metsi_PPL_7.mzML	environmental	dissolvedorganicmatter_water_freshwater	07/05/2024	Botswana	-19.20665|23.40359	0.0	aquatic biome	liquid water				2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)												
MSV000097243	mzml files/mzML_NEG/Metsi_PPL_8.mzML	environmental	dissolvedorganicmatter_water_freshwater	07/05/2024	Botswana	-19.20665|23.40359	0.0	aquatic biome	liquid water				2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)												
MSV000097243	mzml files/mzML_NEG/Metsi_PPL_9.mzML	environmental	dissolvedorganicmatter_water_freshwater	07/05/2024	Botswana	-19.19476|23.4568	0.0	aquatic biome	liquid water				2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)												
MSV000097243	mzml files/mzML_NEG/Metsi_PPL_10.mzML	environmental	dissolvedorganicmatter_water_freshwater	07/05/2024	Botswana	-19.19476|23.4568	0.0	aquatic biome	liquid water				2025	liquid, solid phase extraction (PPL)	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)												
