MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	UBERONBodyPartName	BiologicalSex	AgeInYears	DOIDCommonName	HealthStatus
MSV000084908	ExtractionBlank_10_GD1_01_52035.mzXML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000084908	ExtractionBlank_09_GC1_01_52022.mzXML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000084908	FIT131E3CAL_GD3_01_52037.mzXML	animal	biofluid	9606|Homo sapiens	feces			Crohn's disease	
MSV000084908	FIT141E3CAL_GA11_01_52006.mzML	animal	biofluid	9606|Homo sapiens	feces			Crohn's disease	
MSV000084908	FIT010E3CAL_BD8_01_51898.mzML	animal	biofluid	9606|Homo sapiens	feces			inflammatory bowel disease	
MSV000084908	FIT097E3CAL_GC5_01_52026.mzML	animal	biofluid	9606|Homo sapiens	feces			Crohn's disease	
MSV000084908	000107215_BB11_01_52119.mzXML	animal	biofluid	9606|Homo sapiens	feces			healthy	healthy
MSV000084908	FIT095E3CAL_BC3_01_51879.mzXML	animal	biofluid	9606|Homo sapiens	feces			Crohn's disease	
MSV000084908	Test3lColumnBlk_No_Inj_01_RA1_01_50381.mzXML	animal	biofluid	9606|Homo sapiens	blood serum			inflammatory bowel disease	
MSV000084908	Serum_151A_GC5_01_50422.mzML	animal	biofluid	9606|Homo sapiens	blood serum			inflammatory bowel disease	
MSV000084908	FIT222E3CAL_GD2_01_52036.mzXML	animal	biofluid	9606|Homo sapiens	feces			Crohn's disease	
MSV000084908	107213_BF10_01_52172.mzXML	animal	biofluid	9606|Homo sapiens	feces			healthy	healthy
MSV000084908	107223_BE7_01_52156.mzXML	animal	biofluid	9606|Homo sapiens	feces			healthy	healthy
MSV000084908	Serum_159B_GA8_01_50395.mzML	animal	biofluid	9606|Homo sapiens	blood serum			inflammatory bowel disease	
MSV000084908	FIT241E3CAL_GB6_01_52014.mzML	animal	biofluid	9606|Homo sapiens	feces			Crohn's disease	
MSV000084908	Serum_157B_GD5_01_50438.mzXML	animal	biofluid	9606|Homo sapiens	blood serum			inflammatory bowel disease	
MSV000084908	FIT287E3CAL_BC11_01_51887.mzXML	animal	biofluid	9606|Homo sapiens	feces			ulcerative colitis	
MSV000084908	FIT031CCAL_GG4_01_52079.mzML	animal	biofluid	9606|Homo sapiens	feces			Crohn's disease	
