MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters
MSV000099793	Withania_somnifera_seed_lowmz.mzML	plant	plant_NOS	126910|Withania somnifera	2024	solid material, fresh	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	SeedvilleUSA, https://seedvilleusa.com/products/50-indian-ginseng-withania-somnifera-ashwaganda-herb-flower-seeds-320140560?_pos=1&_sid=557cdfd1c&_ss=r	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	2024	United States of America	not applicable	not applicable	not applicable
MSV000099793	Zea_mays_seed_highmz.mzML	plant	plant_NOS	4577|Zea mays	2024	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	SeedvilleUSA, https://seedvilleusa.com/products/30-glass-gem-corn-mixed-colors-ornamental-edible-zea-mays-heirloom-vegetable-seeds-335635548?_pos=1&_sid=7bcc8b67f&_ss=r	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	2024	United States of America	not applicable	not applicable	not applicable
MSV000099793	Zea_mays_seed_lowmz.mzML	plant	plant_NOS	4577|Zea mays	2024	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	SeedvilleUSA, https://seedvilleusa.com/products/30-glass-gem-corn-mixed-colors-ornamental-edible-zea-mays-heirloom-vegetable-seeds-335635548?_pos=1&_sid=7bcc8b67f&_ss=r	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	2024	United States of America	not applicable	not applicable	not applicable
MSV000099793	Ziziphus_jujuba_seed_highmz.mzML	plant	plant_NOS	326968|Ziziphus jujuba	2024	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	SeedvilleUSA, https://seedvilleusa.com/products/20-asian-date-jujube-ziziphus-spinosa-common-chinese-tsao-red-fruit-tree-seeds-320141090?_pos=1&_sid=d4fc9d9df&_ss=r	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	2024	United States of America	not applicable	not applicable	not applicable
MSV000099793	Ziziphus_jujuba_seed_lowmz.mzML	plant	plant_NOS	326968|Ziziphus jujuba	2024	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	SeedvilleUSA, https://seedvilleusa.com/products/20-asian-date-jujube-ziziphus-spinosa-common-chinese-tsao-red-fruit-tree-seeds-320141090?_pos=1&_sid=d4fc9d9df&_ss=r	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	2024	United States of America	not applicable	not applicable	not applicable
MSV000099793	Actaea_racemosa_seed_highmz.mzML	plant	plant_NOS	64040|Actaea racemosa	2024	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	SeedvilleUSA, https://seedvilleusa.com/products/50-black-cohosh-bugbane-actaea-racemosa-cimicifuga-bugbane-snakeroot-native-white-flower-herb-seeds?_pos=1&_sid=756b052be&_ss=r	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	2024	United States of America	not applicable	not applicable	not applicable
MSV000099793	Actaea_racemosa_seed_lowmz.mzML	plant	plant_NOS	64040|Actaea racemosa	2024	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	SeedvilleUSA, https://seedvilleusa.com/products/50-black-cohosh-bugbane-actaea-racemosa-cimicifuga-bugbane-snakeroot-native-white-flower-herb-seeds?_pos=1&_sid=756b052be&_ss=r	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	2024	United States of America	not applicable	not applicable	not applicable
MSV000099793	Adansonia_digitata_seed_highmz.mzML	plant	plant_NOS	69109|Adansonia digitata	2024	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	SeedvilleUSA, https://seedvilleusa.com/products/5-african-baobab-tree-adansonia-digitata-monkey-bread-judas-fruit-seeds?_pos=1&_sid=23284e7a8&_ss=r	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	2024	United States of America	not applicable	not applicable	not applicable
MSV000099793	Adansonia_digitata_seed_lowmz.mzML	plant	plant_NOS	69109|Adansonia digitata	2024	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	SeedvilleUSA, https://seedvilleusa.com/products/5-african-baobab-tree-adansonia-digitata-monkey-bread-judas-fruit-seeds?_pos=1&_sid=23284e7a8&_ss=r	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	2024	United States of America	not applicable	not applicable	not applicable
MSV000099793	Amaranthus_hypochondriacus_seed_highmz.mzML	plant	plant_NOS	28502|Amaranthus hypochondriacus	2024	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	SeedvilleUSA, https://seedvilleusa.com/products/100-tricolor-early-splendor-amaranthus-hypochondricus-flower-seeds-comb-s-h-320140013?_pos=1&_sid=cf78d5171&_ss=r	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	2024	United States of America	not applicable	not applicable	not applicable
