MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	UBERONBodyPartName	BiologicalSex	AgeInYears	DOIDCommonName	HealthStatus
MSV000095889	AK_041_WT_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	pool_qc_box2_3.mzML	animal		10090|Mus musculus					
MSV000095889	AK_042_mock_1_ile.mzML	animal		10090|Mus musculus	ileum				
MSV000095889	pool_qc_box2_8.mzML	animal		10090|Mus musculus					
MSV000095889	AK_041_CT_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	AK_038_CT_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	AK_039_mock_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	AK_036_7_CT_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	AK_042_CT_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	AK_043_mock_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	AK_043_CT_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	pool_qc_box1_6.mzML	animal		10090|Mus musculus					
MSV000095889	pool_qc_box2_2.mzML	animal		10090|Mus musculus					
MSV000095889	pool_qc_box1_9.mzML	animal		10090|Mus musculus					
MSV000095889	AK_036_7_mock_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	AK_046_mock_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	AK_040_WT_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	AK_043_ctx_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	Blank_4_20240711020703.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000095889	Blank_5_20240711022028.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000095889	AK_026_ctx_3_ile.mzML	animal		10090|Mus musculus	ileum				
MSV000095889	AK_046_WT_1_ile.mzML	animal		10090|Mus musculus	ileum				
MSV000095889	AK_039_WT_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	AK_034_CT_1_ile.mzML	animal		10090|Mus musculus	ileum				
MSV000095889	AK_042_CT_1_ile.mzML	animal		10090|Mus musculus	ileum				
MSV000095889	AK_046_CT_1_iSIC.mzML	animal		10090|Mus musculus					
MSV000095889	AK_046_WT_1_iSIC.mzML	animal		10090|Mus musculus					
