MassiveID	filename	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SampleCollectionMethod	YearOfAnalysis	ENVOEnvironmentMaterial	LatitudeandLongitude	SampleCollectionDateandTime	SampleType	Country	NCBIDivision
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_11_GB3_1_4795.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	52.0081111|7.651861111111142	06/29/2023 8:00	environmental	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_12_GB4_1_4796.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	52.0081111|7.651861111111143	06/30/2023 8:00	environmental	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_13_GB5_1_4799.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	52.0081111|7.651861111111144	07/01/2023 8:00	environmental	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_14_GB6_1_4800.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	52.0081111|7.651861111111145	07/02/2023 8:00	environmental	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_15_GB7_1_4801.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	52.0081111|7.651861111111146	07/03/2023 8:00	environmental	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_16_GB8_1_4802.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	52.0081111|7.651861111111147	07/04/2023 8:00	environmental	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_17_GC1_1_4805.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	52.0081111|7.651861111111148	07/05/2023 8:00	environmental	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_18_GC2_1_4806.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	52.0081111|7.651861111111149	07/06/2023 8:00	environmental	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_19_GC3_1_4807.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	52.0081111|7.651861111111150	07/07/2023 8:00	environmental	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_20_GC4_1_4808.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	52.0081111|7.651861111111151	07/08/2023 8:00	environmental	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_21_GC5_1_4811.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	52.0081111|7.651861111111152	07/09/2023 8:00	environmental	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_blank_GD5_1_4786.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	blank_extraction	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_blank_GD5_1_4804.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	blank_extraction	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_blank_GD5_1_4798.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	blank_extraction	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_blank_GD5_1_4792.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	blank_extraction	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_blank_GD5_1_4810.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	blank_extraction	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_blank_GD5_1_4815.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	blank_extraction	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_MeOH_H2O_GD4_1_4776.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	blank_analysis	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_MeOH_H2O_GD4_1_4778.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	blank_analysis	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_MeOH_H2O_GD4_1_4779.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	blank_analysis	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_MeOH_H2O_GD4_1_4814.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	blank_analysis	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_MeOH_H2O_GD4_1_4780.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	blank_analysis	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_MeOH_H2O_GD4_1_4817.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	blank_analysis	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_QC1_Roh_GD3_1_4816.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	pool_QC	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_QC1_GD1_1_4791.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	pool_QC	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_QC1_GD1_1_4797.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	pool_QC	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_QC1_GD1_1_4777.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	pool_QC	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_QC1_GD1_1_4785.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	pool_QC	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_QC1_GD1_1_4803.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	pool_QC	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_QC1_GD1_1_4809.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	pool_QC	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_QC1_GD1_1_4812.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	pool_QC	Germany	Environmental samples
MSV000100240	f.MSV000100240/updates/2026-01-22_SteffenHeu_27dadb04/raw/timstof_neg_mzml//WWTP_QC2_GD2_1_4813.mzML	timsTOF fleX|MS:1003124	electrospray ionization (negative)	reverse phase (C18)	liquid, solid phase extraction (PPL)	2023	waste water	missing value	missing value	pool_QC	Germany	Environmental samples
