MassiveID	filename	SampleType	NCBITaxonomy	MassSpectrometer	BiologicalSex	AgeInYears	UBERONBodyPartName	HealthStatus	DOIDCommonName	Ethnicity	SocialEconomicalStatus	ATTRIBUTE_diet	ATTRIBUTE_sample_phase
MSV000086988	Blank_Post_08-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_09-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_09-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_09-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_10-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_10-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_10-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_11-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_11-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_11-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_12-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_12-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_12-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_13-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_13-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_13-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_14-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_14-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_14-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_15-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_15-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_15-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_16-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_16-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_16-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_17-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_17-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_17-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_18-02.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_18-03.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	Blank_Post_18-01.mzML	blank	blank	Q Exactive|MS:1001911	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000086988	NIST_NEG_Samp_01-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_01-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_01-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_02-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_02-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_02-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_03-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_03-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_03-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	aqueous sample
MSV000086988	NIST_NEG_Samp_04-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_04-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_04-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_05-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_05-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_05-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_06-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_06-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_06-03.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	vegetarian	aqueous sample
MSV000086988	NIST_NEG_Samp_07-01.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	lyophilized sample
MSV000086988	NIST_NEG_Samp_07-02.mzML	biofluid	9606|Homo sapiens	Q Exactive|MS:1001911	not applicable	not applicable	feces	not applicable	not applicable	not applicable	not applicable	omnivore	lyophilized sample
