MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters
MSV000099788	Actinidia_chinensis_var_chinensis_seeds_50ACN_lowmz.mzML	plant	plant_NOS	1590841|Actinidia chinensis var. chinensis	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Southern Seed Exchange, LLC (USA),  https://southernseeds.com/products/kiwi-fruit-100-seeds-chinese-gooseberry-beautiful-vining-fruit-with-fragrant-flowers-gmo-free-actinidia-chinensis?srsltid=AfmBOopTGei7TaFprDfUQ0dnAqP3H6RoI18SilvPdKvcK0M6Owx7tamP	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
MSV000099788	Alnus_glutinosa_seeds_50ACN_highmz.mzML	plant	plant_NOS	3517|Alnus glutinosa	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | Ames 29986	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Alnus_glutinosa_seeds_50ACN_lowmz.mzML	plant	plant_NOS	3517|Alnus glutinosa	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | Ames 29986	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Amaranthus_tricolor_seeds_50ACN_highmz.mzML	plant	plant_NOS	29722|Amaranthus tricolor	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 702914	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Amaranthus_tricolor_seeds_50ACN_lowmz.mzML	plant	plant_NOS	29722|Amaranthus tricolor	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 702914	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Amaranthus_tuberculatus_pop51_seeds_50ACN_highmz.mzML	plant	plant_NOS	277990|Amaranthus tuberculatus	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 607453	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Amaranthus_tuberculatus_pop51_seeds_50ACN_lowmz.mzML	plant	plant_NOS	277990|Amaranthus tuberculatus	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 607453	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Amaranthus_tuberculatus_pop60_seeds_50ACN_highmz.mzML	plant	plant_NOS	277990|Amaranthus tuberculatus	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 607462	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Amaranthus_tuberculatus_pop60_seeds_50ACN_lowmz.mzML	plant	plant_NOS	277990|Amaranthus tuberculatus	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 607462	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Amaranthus_tuberculatus_wus_seeds_50ACN_highmz.mzML	plant	plant_NOS	277990|Amaranthus tuberculatus	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 698378	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Amaranthus_tuberculatus_wus_seeds_50ACN_lowmz.mzML	plant	plant_NOS	277990|Amaranthus tuberculatus	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 698378	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Ambrosia_artemisiifolia_seeds_50ACN_highmz.mzML	plant	plant_NOS	4212|Ambrosia artemisiifolia	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Roundstone Native Seed LLC (KY, USA), https://roundstoneseed.com/native-wildflowers/4-ragweed.html	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
MSV000099788	Ambrosia_artemisiifolia_seeds_50ACN_lowmz.mzML	plant	plant_NOS	4212|Ambrosia artemisiifolia	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Roundstone Native Seed LLC (KY, USA), https://roundstoneseed.com/native-wildflowers/4-ragweed.html	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
MSV000099788	Andrographis_paniculata_seeds_50ACN_highmz.mzML	plant	plant_NOS	175694|Andrographis paniculata	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Strictly Medicinal LLC (OR, USA), https://strictlymedicinalseeds.com/product/andrographis-andrographis-paniculata-seeds/	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
MSV000099788	Andrographis_paniculata_seeds_50ACN_lowmz.mzML	plant	plant_NOS	175694|Andrographis paniculata	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Strictly Medicinal LLC (OR, USA), https://strictlymedicinalseeds.com/product/andrographis-andrographis-paniculata-seeds/	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
MSV000099788	Apium_graveolens_seeds_50ACN_highmz.mzML	plant	plant_NOS	4045|Apium graveolens	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 702603	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Apium_graveolens_seeds_50ACN_lowmz.mzML	plant	plant_NOS	4045|Apium graveolens	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 702603	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Aquilegia_coerulea_seeds_50ACN_highmz.mzML	plant	plant_NOS	218851|Aquilegia coerulea	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 667365	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Aquilegia_coerulea_seeds_50ACN_lowmz.mzML	plant	plant_NOS	218851|Aquilegia coerulea	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 667365	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Arabidopsis_lyrata_subsp_lyrata_seeds_50ACN_highmz.mzML	plant	plant_NOS	81972|Arabidopsis lyrata subsp. lyrata	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | Ames 34694	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Arabidopsis_lyrata_subsp_lyrata_seeds_50ACN_lowmz.mzML	plant	plant_NOS	81972|Arabidopsis lyrata subsp. lyrata	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | Ames 34694	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
MSV000099788	Arabis_alpina_seeds_50ACN_highmz.mzML	plant	plant_NOS	50452|Arabis alpina	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Southern Seed Exchange, LLC (USA), https://southernseeds.com/products/rockcress-white-arabis-alUSDA-NPGS | PIna-250-seeds?variant=41586629312649&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gclid=CjwKCAiA0rUSDA-NPGS | W6BhAcEiwAQH28Iiej5jovU3Isy3WcJgZvnIk8DSv7o05BxeMzJ-slZ6vcdazfzbzrRBoCoa4QAvD_BwE	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
MSV000099788	Arabis_alpina_seeds_50ACN_lowmz.mzML	plant	plant_NOS	50452|Arabis alpina	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Southern Seed Exchange, LLC (USA), https://southernseeds.com/products/rockcress-white-arabis-alUSDA-NPGS | PIna-250-seeds?variant=41586629312649&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gclid=CjwKCAiA0rUSDA-NPGS | W6BhAcEiwAQH28Iiej5jovU3Isy3WcJgZvnIk8DSv7o05BxeMzJ-slZ6vcdazfzbzrRBoCoa4QAvD_BwE	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	not collected	not collected	not applicable	not applicable	not applicable
MSV000099788	Arachis_hypogaea_seeds_50ACN_highmz.mzML	plant	plant_NOS	3818|Arachis hypogaea	2025	solid material, dried	acetonitrile-water-formic_acid(50:48:2)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	USDA-NPGS | PI 701082	not applicable	not applicable	seed	not applicable	not applicable	not applicable	not applicable	check USDA accession	not collected	not applicable	not applicable	not applicable
