MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_SampleID	ATTRIBUTE_SampleName	ATTRIBUTE_PPL_LOT_Number	ATTRIBUTE_PPL_Box_Number	ATTRIBUTE_Project	ATTRIBUTE_Experiment	ATTRIBUTE_Experiment_Blanks	ATTRIBUTE_SampleType	ATTRIBUTE_SampleVolume_mL	ATTRIBUTE_Contact	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	Redissolved in [ul] 80% MeOH 1%FA	Comment	Flow rate	Pump set up	Link BCO-DMO	Sample_ID (BCO-DMO)	Sampling Strategy	Year	Lon	Lat	DateTime_local	ISO_DateTime_UTC	ContactTime	DOC_umol/L	Total_N_umol/L	Total_P_umol/L	Phosphate_umol/L	Silicate_umol/L	N_plus_N_umol/L	Ammonia_umol/L	PON_ug/L	POC_ug/L	PON15_permil	POC13_permil	Salinity	Temperature_C	PicoEukaryotes_cells/uL	Prochlorococcus_cells/uL	Synechococcus_cells/uL	Heterotrophs_cells/uL	M_C_ratio	BIX	HIX	FI	Ultra_Violet_Humic_like_RFU	Marine_Humic_like_RFU	Visible_Humic_like_RFU	Tryptophan_like_RFU	Tyrosine_like_RFU	Phenylalanine_like_RFU	Fulvic_Acid_like_RFU	Optical_Brighteners_RFU	Diesel_Band_II_RFU	Petroleum_like_RFU	Lignin_like_RFU	PARAFAC1	PARAFAC2	PARAFAC3	PARAFAC4	PARAFAC5	PARAFAC6
MSV000088021	KB_2020_103.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_103	M19_T5	6318643_02		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-12-04T09:00:00Z	2019-12-04T19:00:00Z															1.64		3.78	242.25																					
MSV000088021	KB_2020_104.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_104	M20_T5	6318643_02		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-12-04T09:00:00Z	2019-12-04T19:00:00Z															1.95		0.63	176.08																					
MSV000088021	KB_2020_105.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_105	M201_T5	6444207_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-12-04T09:00:00Z	2019-12-04T19:00:00Z															0.93		0.48	181.47																					
MSV000088021	KB_2020_106.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_106	M202_T5	6444207_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-12-04T09:00:00Z	2019-12-04T19:00:00Z															1.07		0.64	166.61																					
MSV000088021	KB_2020_107.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_107	M219_T5	6444207_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-12-04T09:00:00Z	2019-12-04T19:00:00Z															4.45		9.87	259.38																					
MSV000088021	KB_2020_108.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_108	M220_T5	6444207_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-12-04T09:00:00Z	2019-12-04T19:00:00Z															4.06		15.87	261.7																					
MSV000088021	KB_2020_109.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_109	M221_T5	6444207_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-12-04T09:00:00Z	2019-12-04T19:00:00Z															3.65		19.14	290.23																					
MSV000088021	KB_2020_11.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_11	P26_T1	6393672_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0	possible cross contamination w scalpel from M12_T1	8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-09-18T09:00:00Z	2019-09-18T19:00:00Z															5.03		64.63	535.43																					
MSV000088021	KB_2020_110.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_110	M222_T5	6444207_03		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-12-04T09:00:00Z	2019-12-04T19:00:00Z															2.97		17.18	277.44																					
MSV000088021	KB_2020_111.mzML	environmental	dissolvedorganicmatter_water_saline	not applicable	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable			not applicable	21.451605|-157.795509	not applicable	not applicable	MSV000088021_not applicable	not applicable	not applicable	not applicable	KB_2020_111	P26_T5	6318643_02		KBay	KBay	Kbay_Syringe	Syringe	150	Wesley	marine biome	sea water	50.0		8mL/min	peristaltic pump in lab			Spatial Survey	2019.0	-157.795509	21.451605	2019-12-04T09:00:00Z	2019-12-04T19:00:00Z															2.15		1.67	168.01																					
