MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	UBERONBodyPartName	BiologicalSex	AgeInYears	DOIDCommonName	HealthStatus
MSV000092236	U19-6-200-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-100-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-100-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-25-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-200-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-QC-4.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-2-150-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-100-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-QC-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-200-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-Blk-2.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-7-150-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-25-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-100-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-50-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-150-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-Blk-1.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-2-200-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-100-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-50-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-100-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-50-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-25-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-150-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-MeOH-4.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-25-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-100-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-150-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-Blk-3.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-6-50-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-2-200-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-25-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-Blk-1.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-2-100-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-200-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-MeOH-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-25-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-150-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-200-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-25-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-50-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-MeOH-9.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-Blk-1.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-4-50-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-50-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-200-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-50-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-25-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-100-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-200-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-Blk-3.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-6-Blk-1.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-5-150-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-100-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-QC-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-MeOH-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-200-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-2-50-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-25-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-200-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-50-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-MeOH-5_20230428093229.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-200-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-2-25-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-MeOH-10.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-25-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-150-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-MeOH-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-MeOH-6.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-50-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-25-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-200-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-150-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-25-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-100-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-150-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-Blk-2.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-2-150-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-200-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-25-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-2-100-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-50-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-2-100-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-100-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-50-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-100-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-100-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-150-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-Blk-2.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-2-50-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-2-25-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-Blk-2.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-3-150-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-200-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-200-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-50-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-50-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-200-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-150-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-25-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-50-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-2-200-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-150-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-200-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-2-150-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-50-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-Blk-3.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-4-Blk-3.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-4-100-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-100-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-Blk-3.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-6-150-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-25-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-MeOH-7.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-100-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-50-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-7-150-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-MeOH-5.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-2-Blk-2.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-3-150-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-2-50-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-Blk-2.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-1-100-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-QC-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-Blk-2.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-7-Blk-1.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-4-25-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-200-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-4-150-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-6-200-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-5-Blk-1.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-2-25-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-150-2.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	20230426-MeOH-8.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-3-100-1.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
MSV000092236	U19-1-Blk-3.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000092236	U19-1-50-3.mzML	animal	biofluid	9606|Homo sapiens	blood serum				
