MassiveID	filename	MassSpectrometer	SampleType	NCBITaxonomy	ChromatographyAndPhase	UBERONBodyPartName	IonizationSourceAndPolarity
MSV000083083	00077E782C.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E783B.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7857.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7866.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E788B.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E789C.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E78A7.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E78A8.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E78B3.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E78BD.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E78CD.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E78D2.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E78D5.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E78DC.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E78F0.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E791A.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E791E.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7932.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E794B.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7951.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7954.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7959.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E795A.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7962.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7962.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E796D.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7980.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7983.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7986.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7995.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79AC.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79B1.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79BE.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79CC.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79CE.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79DE.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79EB.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79EC.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79ED.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79EE.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79F4.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79F4.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E79FF.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A00.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A00.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A09.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A10.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A17.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A23.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A2E.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A3E.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A45.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A4D.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A56.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A59.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A5C.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A61.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A62.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A68.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A74.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A78.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A7B.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A82.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A83.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A89.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A95.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A97.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A97.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A9C.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7A9F.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AA2.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AAF.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AB1.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AB3.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AB6.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AB9.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AC1.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AC4.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7ACF.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AD5.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7ADD.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7ADD.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AE4.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AE5.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AE7.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AE7.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AEE.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AEE.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7AF1.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B00.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B02.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B07.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B09.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B13.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B18.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B21.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B22.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B27.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B27.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B2B.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B30.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
MSV000083083	00077E7B30.mzML	Q Exactive|MS:1001911	animal	10114|Rattus	reverse phase (C18)	caecum	electrospray ionization (positive)
