filename	SampleTypeSub1	UBERONBodyPartName	MassiveID	SampleType	NCBITaxonomy
P2_E4_G86909.mzML	food_source_plant	fruit	MSV000096584	food	3747|Fragaria x ananassa
P2_D4_G86910.mzML	food_source_plant	fruit	MSV000096584	food	13749|Vaccinium
P2_C4_G86911.mzML	food_source_plant	fruit	MSV000096584	food	23216|Rubus
P2_B4_G86914.mzML	food_source_plant	leaf	MSV000096584	food	38868|Salvia officinalis
P2_B3_G86920.mzML	food_source_plant	root	MSV000096584	food	161934|x
P1_E10_G86937.mzML	food_source_plant	seed	MSV000096584	food	NA|x
P2_D3_G87457.mzML	food_source_plant	root	MSV000096584	food	3726|Raphanus sativus
P2_C5_G87458.mzML	food_source_plant	root	MSV000096584	food	109171|Pachyrhizus erosus
P2_D8_G87461.mzML	food_source_plant	fruit	MSV000096584	food	4640|Musa
P2_E2_G87463.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P2_C3_G87464.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P2_E3_G87465.mzML	food_source_plant	fruit	MSV000096584	food	37656|Citrus x paradisi
P2_E8_G87466.mzML	food_source_plant	fruit	MSV000096584	food	37656|Citrus x paradisi
P2_D2_G87467.mzML	food_source_plant	fruit	MSV000096584	food	37656|Citrus x paradisi
P2_C10_G87468.mzML	food_source_plant	fruit	MSV000096584	food	37656|Citrus x paradisi
P2_D11_G87469.mzML	food_source_plant	fruit	MSV000096584	food	171249|Citrus limonia
P2_B6_G87470.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P2_C11_G87471.mzML	food_source_plant	fruit	MSV000096584	food	76966|Citrus japonica
P2_B2_G87472.mzML	food_source_plant	fruit	MSV000096584	food	76966|Citrus japonica
P2_E6_G87473.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P2_B9_G87479.mzML	food_source_plant	fruit	MSV000096584	food	76966|Citrus japonica
P2_C8_G87481.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P2_D1_G87482.mzML	food_source_plant	fruit	MSV000096584	food	37656|Citrus x paradisi
P2_E7_G87483.mzML	food_source_plant	fruit	MSV000096584	food	37656|Citrus x paradisi
P2_E10_G87484.mzML	food_source_plant	fruit	MSV000096584	food	237575|Citrus tangerina
P2_E9_G87489.mzML	food_source_plant	leaf	MSV000096584	food	29727|x
P2_B5_G87494.mzML	food_source_plant	fruit	MSV000096584	food	13749|Vaccinium
P2_D10_G87527.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P2_D7_G87536.mzML	food_source_plant	fruit	MSV000096584	food	NA|x
P2_C9_G87537.mzML	food_source_plant	leaf	MSV000096584	food	NA|x
P2_D9_G87542.mzML	food_source_fungi		MSV000096584	food	5322|Pleurotus ostreatus
P2_B7_G87546.mzML	food_source_plant	root	MSV000096584	food	4039|Daucus carota
P2_B12_G87547.mzML	food_source_plant	fruit	MSV000096584	food	2711|Citrus sinensis
P2_D5_G87548.mzML	food_source_plant	fruit	MSV000096584	food	2711|Citrus sinensis
P2_E1_G87553.mzML	food_source_plant	tuber	MSV000096584	food	4113|Solanum tuberosum
P2_C12_G87554.mzML	food_source_plant	fruit	MSV000096584	food	159033|Citrus x aurantiifolia
P2_B1_G87555.mzML	food_source_plant	fruit	MSV000096584	food	159033|Citrus x aurantiifolia
P2_C7_G87556.mzML	food_source_plant	bulb	MSV000096584	food	4682|Allium sativum
P2_C1_G87557.mzML	food_source_plant	fruit	MSV000096584	food	4081|Solanum lycopersicum
