MassiveID	filename	qiita_sample_name	NCBITaxonomy	LatitudeandLongitude	SampleCollectionDateandTime	DepthorAltitudeMeters	ENVOEnvironmentBiome	UBERONBodyPartName	ENVOEnvironmentMaterial	BiologicalSex	SubjectIdentifierAsRecorded	SampleType	emp500_shotgun_assembly_sample_name	cur_land_use	cur_vegetation	depth_sample	description	diet_category_12	diet_category_3	dominant_cover_2m	captive_wild	emp500_study_id	emp500_title	empo_2	empo_3	empo_4	empo_salinity	empo_v2_2	empo_v2_3a	empo_v2_3b	empo_v2_4a	empo_v2_4b	env_feature	env_material	env_package	environmental_package	host_body_product	host_body_site	host_class	host_common_name	host_common_name_provided	host_diet	host_disease_stat	host_family	host_family_relationship	host_flight	host_head_width_mm	host_height	host_last_meal	host_length_mm	host_life_stage	lcms_batch	lcms_extraction_protocol	lcms_position	lcms_replicate
MSV000083475	8g4_seedorf71-j1soil-14.mzML	13114.seedorf.71.s004	not applicable|Not applicable	1.294588|103.776828	2/24/2016 8:30:00	50	cropland biome	not applicable	agricultural soil	not applicable	wildtype jatropha tree soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted wildtype Jatropha curcas	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	planted forest	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8g4	no
MSV000083475	8g10_seedorf71-j2soil-16.mzML	13114.seedorf.71.s005	not applicable|Not applicable	1.294588|103.776828	2/24/2016 8:30:00	50	cropland biome	not applicable	agricultural soil	not applicable	wildtype jatropha tree soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted wildtype Jatropha curcas	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	planted forest	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8g10	no
MSV000083475	8g3_seedorf71-jp1soil-18.mzML	13114.seedorf.71.s006	not applicable|Not applicable	1.434767476|103.7112433	2/26/2016 14:13:00	19	cropland biome	not applicable	agricultural soil	not applicable	jatropha tree plantation soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted Jatropha curcas in research plantation	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	planted forest	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8g3	no
MSV000083475	8g6_seedorf71-jp2soil-20.mzML	13114.seedorf.71.s007	not applicable|Not applicable	1.43492266|103.7112946	2/26/2016 14:16:00	19	cropland biome	not applicable	agricultural soil	not applicable	jatropha tree plantation soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted Jatropha curcas in research plantation	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	planted forest	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8g6	no
MSV000083475	8g8_seedorf71-jp3soil-22.mzML	13114.seedorf.71.s008	not applicable|Not applicable	1.435145214|103.7113599	2/26/2016 14:19:00	19	cropland biome	not applicable	agricultural soil	not applicable	jatropha tree plantation soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted Jatropha curcas in research plantation	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	planted forest	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8g8	no
MSV000083475	8g9_seedorf71-p1soil-2.mzML	13114.seedorf.71.s009	not applicable|Not applicable	1.29545|103.763964	2/24/2016 8:30:00	6.7	cropland biome	not applicable	agricultural soil	not applicable	wildtype palm tree soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted wildtype African oil palm	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	oil palm plantation	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8g9	no
MSV000083475	8g12_seedorf71-p2soil-4.mzML	13114.seedorf.71.s010	not applicable|Not applicable	1.29545|103.763964	2/24/2016 8:31:00	6.7	cropland biome	not applicable	agricultural soil	not applicable	wildtype palm tree soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted wildtype African oil palm	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	oil palm plantation	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8g12	no
MSV000083475	8g2_seedorf71-p3soil-6.mzML	13114.seedorf.71.s011	not applicable|Not applicable	1.29545|103.763964	2/24/2016 8:32:00	6.7	cropland biome	not applicable	agricultural soil	not applicable	wildtype palm tree soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted wildtype African oil palm	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	oil palm plantation	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8g2	no
MSV000083475	8h3_seedorf71-pp1soil-8.mzML	13114.seedorf.71.s012	not applicable|Not applicable	1.294588|103.776828	2/24/2016 8:33:00	50	cropland biome	not applicable	agricultural soil	not applicable	palm tree plantation soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted tenera type African oil palm	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	oil palm plantation	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8h3	no
MSV000083475	8g11_seedorf71-pp2soil-10.mzML	13114.seedorf.71.s013	not applicable|Not applicable	1.294588|103.776828	2/24/2016 8:34:00	50	cropland biome	not applicable	agricultural soil	not applicable	palm tree plantation soil	environmental	soil_palm_plantations	not applicable	not applicable	0	soil from directly below planted tenera type African oil palm	not applicable	not applicable	not applicable	not applicable	71	singapore plant-associated soils	Non-saline	Soil (non-saline)	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	oil palm plantation	surface soil	soil	soil	not applicable	not applicable	not applicable	soil	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	0	not applicable	not applicable	not applicable	8	bulk_seed_pnnl	8g11	no
