MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex
MSV000090179	neg_mouse_female_brain_4w_1.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			0.083333	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_12w_1.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			0.25	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_25w_1.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			0.520833	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_48w_1.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			1	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_78w_1.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			1.625	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_4w_2.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			0.083333	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_12w_2.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			0.25	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_25w_2.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			0.520833	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_48w_2.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			1	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_78w_2.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			1.625	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_4w_3.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			0.083333	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_12w_3.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			0.25	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_25w_3.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			0.520833	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_48w_3.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			1	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_78w_3.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			1.625	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_4w_4.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			0.083333	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_12w_4.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			0.25	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_25w_4.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			0.520833	female	brain		healthy																		
MSV000090179	neg_mouse_female_brain_48w_4.mzML	animal	tissue	10090|Mus musculus						electrospray ionization (negative)			1	female	brain		healthy																		
