MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	UBERONBodyPartName	BiologicalSex	AgeInYears	DOIDCommonName	HealthStatus
MSV000090755	4D.mzML			2|Bacteria					
MSV000090755	6F.mzML			2|Bacteria					
MSV000090755	3BO.mzML			2|Bacteria					
MSV000090755	6B.mzML			2|Bacteria					
MSV000090755	1A.mzML			2|Bacteria					
MSV000090755	4A.mzML			2|Bacteria					
MSV000090755	6A.mzML			2|Bacteria					
MSV000090755	2C.mzML			2|Bacteria					
MSV000090755	4G.mzML			2|Bacteria					
MSV000090755	6I.mzML			2|Bacteria					
MSV000090755	6D.mzML			2|Bacteria					
MSV000090755	3C.mzML			2|Bacteria					
MSV000090755	2A.mzML			2|Bacteria					
MSV000090755	1G.mzML			2|Bacteria					
MSV000090755	3BD.mzML			2|Bacteria					
MSV000090755	2I.mzML			2|Bacteria					
MSV000090755	3A.mzML			2|Bacteria					
MSV000090755	2G.mzML			2|Bacteria					
MSV000090755	2E.mzML			2|Bacteria					
MSV000090755	Blank_2.mzML	blank_analysis	blank_analysis	2|Bacteria	missing_value	missing_value		missing_value	missing_value
MSV000090755	2H.mzML			2|Bacteria					
MSV000090755	5G.mzML			2|Bacteria					
MSV000090755	4E.mzML			2|Bacteria					
MSV000090755	3E.mzML			2|Bacteria					
MSV000090755	3D.mzML			2|Bacteria					
MSV000090755	1C.mzML			2|Bacteria					
MSV000090755	1H.mzML			2|Bacteria					
MSV000090755	3I.mzML			2|Bacteria					
MSV000090755	2D.mzML			2|Bacteria					
MSV000090755	2F.mzML			2|Bacteria					
MSV000090755	2B.mzML			2|Bacteria					
MSV000090755	Blank_1.mzML	blank_analysis	blank_analysis	2|Bacteria	missing_value	missing_value		missing_value	missing_value
MSV000090755	5D.mzML			2|Bacteria					
MSV000090755	4F.mzML			2|Bacteria					
MSV000090755	5E.mzML			2|Bacteria					
MSV000090755	4C.mzML			2|Bacteria					
MSV000090755	Blank_3.mzML	blank_analysis	blank_analysis	2|Bacteria	missing_value	missing_value		missing_value	missing_value
MSV000090755	1D.mzML			2|Bacteria					
MSV000090755	3G.mzML			2|Bacteria					
MSV000090755	6E.mzML			2|Bacteria					
MSV000090755	5F.mzML			2|Bacteria					
MSV000090755	5B.mzML			2|Bacteria					
MSV000090755	1I.mzML			2|Bacteria					
MSV000090755	5H.mzML			2|Bacteria					
MSV000090755	5I.mzML			2|Bacteria					
MSV000090755	5A.mzML			2|Bacteria					
MSV000090755	6C.mzML			2|Bacteria					
MSV000090755	5C.mzML			2|Bacteria					
MSV000090755	6G.mzML			2|Bacteria					
MSV000090755	1B.mzML			2|Bacteria					
MSV000090755	3H.mzML			2|Bacteria					
MSV000090755	4H.mzML			2|Bacteria					
MSV000090755	4B.mzML			2|Bacteria					
MSV000090755	1E.mzML			2|Bacteria					
MSV000090755	1F.mzML			2|Bacteria					
MSV000090755	3F.mzML			2|Bacteria					
MSV000090755	6H.mzML			2|Bacteria					
MSV000090755	Blank_4.mzML	blank_analysis	blank_analysis	2|Bacteria	missing_value	missing_value		missing_value	missing_value
MSV000090755	4I.mzML			2|Bacteria					
