MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	SampleCollectionDateandTime	Country	LatitudeandLongitude	DepthorAltitudeMeters	Attribute_Set	ATTRIBUTE_Unique ID	ATTRIBUTE_Processing_Plate	ATTRIBUTE_Processing_Row	ATTRIBUTE_Processing_Column	ATTRIBUTE_Processing_Position	ATTRIBUTE_Code	ATTRIBUTE_Host	ATTRIBUTE_Microbiome	ATTRIBUTE_Treatment	ATTRIBUTE_QC	id
MSV000095905	MCMK_RTE2023_Exploris240_242_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris558	electrospray ionization (positive)	reverse phase (C18)	242	05-02-2023 11:28	United States of America	32.52416|117.14276	132	3	242	G	G	5	G05	NM22-CM49-C	NM22	CM49	C	Passed_QC	21
MSV000095905	MCMK_RTE2023_Exploris240_242_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris559	electrospray ionization (positive)	reverse phase (C18)	242	05-02-2023 11:28	United States of America	32.52416|117.14276	132	3	242	G	G	6	G06	NM22-CM49-C	NM22	CM49	C	Passed_QC	22
MSV000095905	MCMK_RTE2023_Exploris240_330_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris754	electrospray ionization (positive)	reverse phase (C18)	330	05-02-2023 14:12	United States of America	32.52416|117.14276	132	5	330	I	G	5	G05	NM22-CM49-S	NM22	CM49	S	Passed_QC	43
MSV000095905	MCMK_RTE2023_Exploris240_330_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris755	electrospray ionization (positive)	reverse phase (C18)	330	05-02-2023 14:12	United States of America	32.52416|117.14276	132	5	330	I	G	6	G06	NM22-CM49-S	NM22	CM49	S	Passed_QC	44
MSV000095905	MCMK_RTE2023_Exploris240_420_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris954	electrospray ionization (positive)	reverse phase (C18)	420	05/30/2023 11:01	United States of America	32.52416|117.14276	132	1	420	K	H	7	H07	NM22-CM49-C	NM22	CM49	C	Passed_QC	67
MSV000095905	MCMK_RTE2023_Exploris240_420_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris955	electrospray ionization (positive)	reverse phase (C18)	420	05/30/2023 11:01	United States of America	32.52416|117.14276	132	1	420	K	H	8	H08	NM22-CM49-C	NM22	CM49	C	Passed_QC	68
MSV000095905	MCMK_RTE2023_Exploris240_510_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1154	electrospray ionization (positive)	reverse phase (C18)	510	05/30/2023 14:00	United States of America	32.52416|117.14276	132	1	510	M	G	11	G11	NM22-CM49-S	NM22	CM49	S	Passed_QC	87
MSV000095905	MCMK_RTE2023_Exploris240_510_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1155	electrospray ionization (positive)	reverse phase (C18)	510	05/30/2023 14:00	United States of America	32.52416|117.14276	132	1	510	M	G	12	G12	NM22-CM49-S	NM22	CM49	S	Passed_QC	88
MSV000095905	MCMK_RTE2023_Exploris240_62_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1396	electrospray ionization (positive)	reverse phase (C18)	62	04-04-2023 11:04	United States of America	32.52416|117.14276	132	1	62	B	E	3	E03	NM22-CM49-C	NM22	CM49	C	Passed_QC	109
MSV000095905	MCMK_RTE2023_Exploris240_62_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1397	electrospray ionization (positive)	reverse phase (C18)	62	04-04-2023 11:04	United States of America	32.52416|117.14276	132	1	62	B	E	4	E04	NM22-CM49-C	NM22	CM49	C	Passed_QC	110
MSV000095905	MCMK_RTE2023_Exploris240_153_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris360	electrospray ionization (positive)	reverse phase (C18)	153	04-04-2023 13:33	United States of America	32.52416|117.14276	132	6	153	E	E	5	E05	NM22-CR14-S	NM22	CR14	S	Co-culture_of_hosts	4
MSV000095905	MCMK_RTE2023_Exploris240_153_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris361	electrospray ionization (positive)	reverse phase (C18)	153	04-04-2023 13:33	United States of America	32.52416|117.14276	132	6	153	E	E	6	E06	NM22-CR14-S	NM22	CR14	S	Co-culture_of_hosts	5
MSV000095905	MCMK_RTE2023_Exploris240_243_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris560	electrospray ionization (positive)	reverse phase (C18)	243	05-02-2023 11:04	United States of America	32.52416|117.14276	132	3	243	G	G	7	G07	NM22-CR14-C	NM22	CR14	C	Co-culture_of_hosts	23
MSV000095905	MCMK_RTE2023_Exploris240_243_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris561	electrospray ionization (positive)	reverse phase (C18)	243	05-02-2023 11:04	United States of America	32.52416|117.14276	132	3	243	G	G	8	G08	NM22-CR14-C	NM22	CR14	C	Co-culture_of_hosts	24
MSV000095905	MCMK_RTE2023_Exploris240_331_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris756	electrospray ionization (positive)	reverse phase (C18)	331	05-02-2023 14:00	United States of America	32.52416|117.14276	132	5	331	I	G	7	G07	NM22-CR14-S	NM22	CR14	S	Co-culture_of_hosts	45
MSV000095905	MCMK_RTE2023_Exploris240_331_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris757	electrospray ionization (positive)	reverse phase (C18)	331	05-02-2023 14:00	United States of America	32.52416|117.14276	132	5	331	I	G	8	G08	NM22-CR14-S	NM22	CR14	S	Co-culture_of_hosts	46
MSV000095905	MCMK_RTE2023_Exploris240_628_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1414	electrospray ionization (positive)	reverse phase (C18)	628	06/27/2023 11:05	United States of America	32.52416|117.14276	132	2	628	P	D	9	D09	NM22-CR14-C	NM22	CR14	C	Co-culture_of_hosts	117
MSV000095905	MCMK_RTE2023_Exploris240_628_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1415	electrospray ionization (positive)	reverse phase (C18)	628	06/27/2023 11:05	United States of America	32.52416|117.14276	132	2	628	P	D	10	D10	NM22-CR14-C	NM22	CR14	C	Co-culture_of_hosts	118
MSV000095905	MCMK_RTE2023_Exploris240_63_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1418	electrospray ionization (positive)	reverse phase (C18)	63	04-04-2023 10:44	United States of America	32.52416|117.14276	132	1	63	B	E	5	E05	NM22-CR14-C	NM22	CR14	C	Co-culture_of_hosts	121
MSV000095905	MCMK_RTE2023_Exploris240_63_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1419	electrospray ionization (positive)	reverse phase (C18)	63	04-04-2023 10:44	United States of America	32.52416|117.14276	132	1	63	B	E	6	E06	NM22-CR14-C	NM22	CR14	C	Co-culture_of_hosts	122
MSV000095905	MCMK_RTE2023_Exploris240_638_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1436	electrospray ionization (positive)	reverse phase (C18)	638	06/27/2023 13:57	United States of America	32.52416|117.14276	132	4	638	P	H	11	H11	NM22-CR14-S	NM22	CR14	S	Co-culture_of_hosts	139
MSV000095905	MCMK_RTE2023_Exploris240_638_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1437	electrospray ionization (positive)	reverse phase (C18)	638	06/27/2023 13:57	United States of America	32.52416|117.14276	132	4	638	P	H	12	H12	NM22-CR14-S	NM22	CR14	S	Co-culture_of_hosts	140
MSV000095905	MCMK_RTE2023_Exploris240_421_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris956	electrospray ionization (positive)	reverse phase (C18)	421	05/30/2023 10:55	United States of America	32.52416|117.14276	132	1	421	K	A	9	A09	NM22-CR14-C	NM22	CR14	C	Passed_QC	69
MSV000095905	MCMK_RTE2023_Exploris240_421_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris957	electrospray ionization (positive)	reverse phase (C18)	421	05/30/2023 10:55	United States of America	32.52416|117.14276	132	1	421	K	A	10	A10	NM22-CR14-C	NM22	CR14	C	Passed_QC	70
MSV000095905	MCMK_RTE2023_Exploris240_511_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1156	electrospray ionization (positive)	reverse phase (C18)	511	05/30/2023 13:33	United States of America	32.52416|117.14276	132	1	511	M	H	11	H11	NM22-CR14-S	NM22	CR14	S	Passed_QC	89
MSV000095905	MCMK_RTE2023_Exploris240_511_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1157	electrospray ionization (positive)	reverse phase (C18)	511	05/30/2023 13:33	United States of America	32.52416|117.14276	132	1	511	M	H	12	H12	NM22-CR14-S	NM22	CR14	S	Passed_QC	90
MSV000095905	MCMK_RTE2023_Exploris240_545_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1230	electrospray ionization (positive)	reverse phase (C18)	545	05/30/2023 11:04	United States of America	32.52416|117.14276	132	1	545	K	B	9	B09	NM22-CR14-C	NM22	CR14	C	Passed_QC	105
MSV000095905	MCMK_RTE2023_Exploris240_545_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1231	electrospray ionization (positive)	reverse phase (C18)	545	05/30/2023 11:04	United States of America	32.52416|117.14276	132	1	545	K	B	10	B10	NM22-CR14-C	NM22	CR14	C	Passed_QC	106
MSV000095905	MCMK_RTE2023_Exploris240_512_R1.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1158	electrospray ionization (positive)	reverse phase (C18)	512	05/30/2023 13:27	United States of America	32.52416|117.14276	132	1	512	N	A	1	A01	NM22-CR16-S	NM22	CR16	S	Co-culture_of_hosts	91
MSV000095905	MCMK_RTE2023_Exploris240_512_R2.mzML	culture_multiplespecies	culture_multiplespecies	1179|Nostoc muscorum	2024	liquid	methanol-water (1:1)	sulfadimethoxine	Orbitrap_Exploris1159	electrospray ionization (positive)	reverse phase (C18)	512	05/30/2023 13:27	United States of America	32.52416|117.14276	132	1	512	N	A	2	A02	NM22-CR16-S	NM22	CR16	S	Co-culture_of_hosts	92
