MassiveID	filename	SampleType	SampleTypeSub1	SampleCollectionDateandTime	Country	LatitudeandLongitude	DepthorAltitudeMeters	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOBroadScale	ENVOLocalScale	ENVOMediumScale	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	ENVOLocalScaleIndex	ENVOBroadScaleIndex	ENVOMediumScaleIndex	USI
MSV000092622	A_1a.mzML	environmental	dissolvedorganicmatter_water_saline	7/12/2023 10:45	United States of America	32.86701|-117.25714	0.0	marine biome	sea water				2023	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	LTQ Orbitrap Elite|MS:1001910	electrospray ionization (positive)	reverse phase (C18)												
MSV000092622	A_1b.mzML	environmental	dissolvedorganicmatter_water_saline	7/12/2023 10:45	United States of America	32.86701|-117.25714	0.0	marine biome	sea water				2023	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	LTQ Orbitrap Elite|MS:1001910	electrospray ionization (positive)	reverse phase (C18)												
MSV000092622	A_2a.mzML	environmental	dissolvedorganicmatter_water_saline	7/13/2023 10:15	United States of America	32.86701|-117.25714	0.0	marine biome	sea water				2023	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	LTQ Orbitrap Elite|MS:1001910	electrospray ionization (positive)	reverse phase (C18)												
MSV000092622	A_2b.mzML	environmental	dissolvedorganicmatter_water_saline	7/13/2023 10:15	United States of America	32.86701|-117.25714	0.0	marine biome	sea water				2023	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	LTQ Orbitrap Elite|MS:1001910	electrospray ionization (positive)	reverse phase (C18)												
MSV000092622	A_3a.mzML	environmental	dissolvedorganicmatter_water_saline	7/14/2023 10:15	United States of America	32.86701|-117.25714	0.0	marine biome	sea water				2023	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	LTQ Orbitrap Elite|MS:1001910	electrospray ionization (positive)	reverse phase (C18)												
MSV000092622	A_3b.mzML	environmental	dissolvedorganicmatter_water_saline	7/14/2023 10:15	United States of America	32.86701|-117.25714	0.0	marine biome	sea water				2023	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	LTQ Orbitrap Elite|MS:1001910	electrospray ionization (positive)	reverse phase (C18)												
MSV000092622	A_4a.mzML	environmental	dissolvedorganicmatter_water_saline	7/15/2023 10:30	United States of America	32.86701|-117.25714	0.0	marine biome	sea water				2023	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	LTQ Orbitrap Elite|MS:1001910	electrospray ionization (positive)	reverse phase (C18)												
MSV000092622	A_4b.mzML	environmental	dissolvedorganicmatter_water_saline	7/15/2023 10:30	United States of America	32.86701|-117.25714	0.0	marine biome	sea water				2023	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	LTQ Orbitrap Elite|MS:1001910	electrospray ionization (positive)	reverse phase (C18)												
MSV000092622	A_5a.mzML	environmental	dissolvedorganicmatter_water_saline	7/16/2023 10:30	United States of America	32.86701|-117.25714	0.0	marine biome	sea water				2023	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	LTQ Orbitrap Elite|MS:1001910	electrospray ionization (positive)	reverse phase (C18)												
MSV000092622	A_5b.mzML	environmental	dissolvedorganicmatter_water_saline	7/16/2023 10:30	United States of America	32.86701|-117.25714	0.0	marine biome	sea water				2023	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	LTQ Orbitrap Elite|MS:1001910	electrospray ionization (positive)	reverse phase (C18)												
