MassiveID	filename	SampleType	SampleTypeSub1	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	sample_code_rosetta	ATTRIBUTE_STATION	ATTRIBUTE_DEPTH	ATTRIBUTE_temp	ATTRIBUTE_sal	ATTRIBUTE_Sbeox0Mg/L	ATTRIBUTE_par	ATTRIBUTE_par1	ATTRIBUTE_spar	ATTRIBUTE_fl-eco-afl	ATTRIBUTE_turb	ATTRIBUTE_CStarTr0.(%)	ATTRIBUTE_Leu_ratio	ATTRIBUTE_leu.ratio.st.des	ATTRIBUTE_LONGHURST	ATTRIBUTE_LONGHURST_name
MSV000096004	AN1WDOC_PPL_011_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/21/2020 10.00	not applicable	not applicable	28.651429|-23.396353	-125.0	not specified	not specified	not applicable	not applicable	AN1_ST04_DCM	ST04	DCM	19.45175	36.73379	7.0329	1.34489			0.20332	0.19978	99.08858	7.838775	4.093149	NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_012_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/21/2020 10.00	not applicable	not applicable	28.651429|-23.396353	-75.0	not specified	not specified	not applicable	not applicable	AN1_ST04_DEEP1	ST04	1%PAR	21.4077	37.04702	6.980111	12.0754			-0.12102	0.198233	98.94			NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_013_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/21/2020 10.00	not applicable	not applicable	28.651429|-23.396353	-5.0	not specified	not specified	not applicable	not applicable	AN1_ST04_SURF	ST04	surf	21.41164	37.05027	6.98766	296.286			-0.01361	0.19952	99.02469	8.749528	5.162859	NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_014_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/21/2020 10.00	not applicable	not applicable	28.651429|-23.396353	-900.0	not specified	not specified	not applicable	not applicable	AN1_ST04_DEEP3	ST04	depth1	8.278478	35.27867	4.503167	1e-12			-0.0228	0.203722	99.4585			NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_015_NEG_blk.mzML	blank_analysis	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/21/2020 10.00	not applicable	not applicable	28.651429|-23.396353	-2000.0	not specified	not specified	not applicable	not applicable	AN1_ST04_DEEP4	ST04	depth2	4.380833	35.10799	7.214922	1e-12			-0.0135	0.197856	99.48398			NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_016_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/22/2020 09.00	not applicable	not applicable	25.63|-24.41	-5.0	not specified	not specified	not applicable	not applicable	AN1_ST05_SURF	ST05	surf	22.87721	37.25376	6.778858	36.40842			0.034692	0.210125	98.72513	2.755402	1.724713	NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_017_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/22/2020 09.00	not applicable	not applicable	25.63|-24.41	-120.0	not specified	not specified	not applicable	not applicable	AN1_ST05_DCM	ST05	DCM	20.21228	36.88646	7.072178	0.139486			0.298189	0.203778	98.92117	10.81783	2.297392	NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_018_NEG_blk.mzML	blank_analysis	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/22/2020 09.00	not applicable	not applicable	25.63|-24.41		not specified	not specified	not applicable	not applicable	AN1_ST05_BLK	ST05	blk												NASE	North Atlantic Subtropical East
MSV000096004	AN1WDOC_PPL_019_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/23/2020 09.00	not applicable	not applicable	22.22|-26.63	-5.0	not specified	not specified	not applicable	not applicable	AN1_ST06_SURF	ST06	surf	23.58522	36.96421	6.701357	49.74864			0.075293	0.208343	98.79113	12.46024	2.028168	NATR	North Atlantic Tropical East
MSV000096004	AN1WDOC_PPL_020_NEG.mzML	environmental	dissolvedorganicmatter_water_saline	2021	liquid, solid phase extraction (PPL)	methanol (100%)	none	Orbitrap Eclipse|MS:1003029	electrospray ionization (negative)	reverse phase (C18)	not specified	not specified	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	12/24/2020 09.00	not applicable	not applicable	18.87|-28.319	-5.0	not specified	not specified	not applicable	not applicable	AN1_ST07_SURF	ST07	surf	24.03418	36.9049	6.598455	175.9709	139.4736	1167.318	0.088045	0.217782	98.17334	7.283919	0.669355	NATR	North Atlantic Tropical East
