MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters
MSV000099790	Staphylea_trifolia_leaf_highmz.mzML	plant	plant_NOS	85280|Staphylea trifolia	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1969-1452	56	not applicable	leaf	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Staphylea_trifolia_leaf_lowmz.mzML	plant	plant_NOS	85280|Staphylea trifolia	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1969-1452	56	not applicable	leaf	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Staphylea_trifolia_stem_highmz.mzML	plant	plant_NOS	85280|Staphylea trifolia	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1969-1452	56	not applicable	stem	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Staphylea_trifolia_stem_lowmz.mzML	plant	plant_NOS	85280|Staphylea trifolia	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1969-1452	56	not applicable	stem	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Tectaria_coadunata_var_gemmifera_stem_lowmz.mzML	plant	plant_NOS	1524124|Tectaria coadunata	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1989-6553	36	not applicable	stem	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Tectaria_coadunata_var_gemmifera_stem_highmz.mzML	plant	plant_NOS	1524124|Tectaria coadunata	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1989-6553	36	not applicable	stem	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Tectaria_heracleifolia_leaf_highmz.mzML	plant	plant_NOS	1435278|Tectaria_heracleifolia	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1969-1690	56	not applicable	leaf	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Tectaria_heracleifolia_leaf_lowmz.mzML	plant	plant_NOS	1435278|Tectaria_heracleifolia	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1969-1690	56	not applicable	leaf	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Tectaria_heracleifolia_stem_highmz.mzML	plant	plant_NOS	1435278|Tectaria_heracleifolia	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1969-1690	56	not applicable	stem	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Tectaria_heracleifolia_stem_lowmz.mzML	plant	plant_NOS	1435278|Tectaria_heracleifolia	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1969-1690	56	not applicable	stem	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Tradescantia_zebrina_leaf_highmz.mzML	plant	plant_NOS	34175|Tradescantia zebrina	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1989-5211	36	not applicable	leaf	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Tradescantia_zebrina_leaf_lowmz.mzML	plant	plant_NOS	34175|Tradescantia zebrina	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1989-5211	36	not applicable	leaf	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Tradescantia_zebrina_stem_highmz.mzML	plant	plant_NOS	34175|Tradescantia zebrina	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1989-5211	36	not applicable	stem	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Tradescantia_zebrina_stem_lowmz.mzML	plant	plant_NOS	34175|Tradescantia zebrina	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 1989-5211	36	not applicable	stem	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Alstroemeria_angustifolia_leaf_highmz.mzML	plant	plant_NOS	198669|Alstroemeria angustifolia	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 2021-0853	4	not applicable	leaf	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Alstroemeria_angustifolia_leaf_lowmz.mzML	plant	plant_NOS	198669|Alstroemeria angustifolia	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 2021-0853	4	not applicable	leaf	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Alstroemeria_angustifolia_stem_highmz.mzML	plant	plant_NOS	198669|Alstroemeria angustifolia	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 2021-0853	4	not applicable	stem	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Alstroemeria_angustifolia_stem_lowmz.mzML	plant	plant_NOS	198669|Alstroemeria angustifolia	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 2021-0853	4	not applicable	stem	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
MSV000099790	Anacampseros_sp_flower_highmz.mzML	plant	plant_NOS	107583|Anacampseros	2025	solid material, fresh	methanol-water (4:1)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	Missouri Botanical Garden (St.Louis, MO) Accession 2012-0113	13	not applicable	flower	not applicable	not applicable	not applicable	not applicable	2025	United States of America	not applicable	not applicable	not applicable
