MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	UBERONBodyPartName	BiologicalSex	AgeInYears	DOIDCommonName	HealthStatus
MSV000082973	A43_172_2.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A37_148_1.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A41_166_6.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A37_150_11.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A42_168_16.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A36_146_21.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A41_164_1.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A35_140_11.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A36_146_11.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A44_178_6.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A44_177_16.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A39_158_6.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A34_135_plasma.mzXML	animal	biofluid	10090|Mus musculus	blood plasma				
MSV000082973	A36_145_2.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A39_158_16.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A42_168_11.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A36_145_6.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A38_153_1.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A44_177_16.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A39_155_11.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	Blank_G1_1uL_180730104006.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000082973	A42_168_2.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A35_139_6.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A39_157_21.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A45_180_2.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A44_177_1.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A41_163_16.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A36_145_16.mzML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A42_169_plasma.mzML	animal	biofluid	10090|Mus musculus	blood plasma				
MSV000082973	A43_172_16.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	Blank_G1_1uL_180731061503.mzML	blank_analysis	blank_analysis	missing_value	missing_value	missing_value		missing_value	missing_value
MSV000082973	A40_159_plasma.mzXML	animal	biofluid	10090|Mus musculus	blood plasma				
MSV000082973	A34_135_1.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A38_153_6.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A45_181_6.mzXML	animal	biofluid	10090|Mus musculus	feces				
MSV000082973	A36_145_11.mzML	animal	biofluid	10090|Mus musculus	feces				
