MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	SubjectIdentifierAsRecorded	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded.1	SampleCollectionDateandTime	Country	LatitudeandLongitude	ATTRIBUTE_tank	ATTRIBUTE_culture	ATTRIBUTE_treat	ATTRIBUTE_pop	ATTRIBUTE_volume	ATTRIBUTE_batch	ATTRIBUTE_extr_no	Filename	Spe_elution_label
MSV000096471	T1-MP-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T1-MP-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T1-MP-R5	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1.0	mono	c	MP	100.0	2	14	T1-MP-R5	#14_T1-MP-R5
MSV000096471	T3-PP-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T3-PP-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T3-PP-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3.0	poly	c	PP	65.0	2	15	T3-PP-R3	#15_T3-PP-R3
MSV000096471	T3-MP-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T3-MP-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T3-MP-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3.0	mono	c	MP	80.0	2	16	T3-MP-R5	#16_T3-MP-R5
MSV000096471	T6-OG-R7.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T6-OG-R7	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T6-OG-R7	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6.0	mono	h	OG	85.0	2	17	T6-OG-R7	#17_T6-OG-R7
MSV000096471	T2-BL-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T2-BL-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T2-BL-R3	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2.0	mono	h	BL	100.0	2	18	T2-BL-R3	#18_T2-BL-R3
MSV000096471	T3-OG-R7.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T3-OG-R7	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T3-OG-R7	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3.0	mono	c	OG	100.0	2	19	T3-OG-R7	#19_T3-OG-R7
MSV000096471	Blank-2.mzML	blank_extraction	blank_extraction	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	Blank-2	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	Blank-2		United States of America	38.318639832515096|-123.07160615397322						2	20	Blank-2	#20_Blank-2
MSV000096471	T6-MP-R5.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T6-MP-R5	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T6-MP-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6.0	mono	h	MP	77.0	3	21	T6-MP-R5	#21_T6-MP-R5
MSV000096471	T6-OG-R3.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T6-OG-R3	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T6-OG-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6.0	mono	h	OG	100.0	3	22	T6-OG-R3	#22_T6-OG-R3
MSV000096471	T3-PP-R7.mzML	plant	dissolvedorganicmatter_water_saline	29655|Zostera marina	2024	liquid, solid phase extraction (PPL)	methanol-water (3:2)	none	T3-PP-R7	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)	T3-PP-R7	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3.0	poly	c	PP	100.0	3	23	T3-PP-R7	#23_T3-PP-R7
